song,artist,year,meter,cluster15,cluster6
OneLastKiss,J.GeilsBand,1978,4/4,5,5
Wendy,TheBeachBoys,1964,4/4,8,0
GiveItToMeBaby,RickJames,1981,4/4,12,5
"Baby,BabyDon'tCry",TheMiracles,1969,4/4,10,1
I'mInLove,"Evelyn""Champagne""King",1981,4/4,2,3
RightPlaceWrongTime,Dr.John,1973,4/4,3,1
HeartinHand,BrendaLee,1962,4/4,7,0
RichGirl,HallandOates,1977,4/4,8,4
MyThang,JamesBrown,1974,4/4,1,4
Don'tstandsoclosetome,Police,1981,4/4,3,5
IDon'tNeedYou,KennyRogers,1981,4/4,9,3
CityInTheSky,TheStapleSingers,1974,4/4,14,1
TheBattleOfNewOrleans,JohnnyHorton,1959,4/4,11,2
LastDance,DonnaSummer,1978,4/4,8,0
I'veBeenLovingYouTooLong(ToStopNow),OtisRedding,1965,6/8,4,4
AftertheLovin',EngelbertHumperdinck,1977,6/8,7,0
Still,Commodores,1980,4/4,11,2
HowBlueCanYouGet,B.B.King,1964,4/4,1,4
OhMyAngel,BerthaTillman,1962,6/8,6,5
GoingToAGo-Go,TheRollingStones,1982,4/4,3,5
FoolThatIAm,EttaJames,1961,4/4,2,3
ThoseLazy-Hazy-CrazyDaysOfSummer,NatKingCole,1963,4/4,8,0
YearsAgo,GeorgeHarrison,1981,4/4,7,0
Suite:JudyBlueEyes,"Crosby,Stills&Nash",1969,4/4,14,1
PrivateDancer,TinaTurner,1985,4/4,9,3
TrampledUnderFoot,LedZeppelin,1975,4/4,5,5
LoveComesQuickly,PetShopBoys,1986,4/4,5,5
CrystalBluePersuasion,TommyJames,1969,4/4,6,1
ThisHouse,TracieSpencer,1990,4/4,12,5
RunningUpThatHill,KateBush,1985,4/4,5,5
BabyYou'reRight,JamesBrown,1961,4/4,1,4
StopThisGame,CheapTrick,1980,4/4,11,2
WithYouI'mBornAgain,BillyPreston,1979,3/4,9,3
WakeMeUpBeforeYouGo-Go,Wham!,1984,4/4,6,4
IfICanDream,ElvisPresley,1968,12/8,0,2
RedneckFriend,JacksonBrowne,1973,4/4,0,2
DiscoInferno,TheTrammps,1977,4/4,1,4
AlmostbyBeingInLove,MichaelJohnson,1978,4/4,5,5
DoubleShot(OfMyBaby'sLove),Swingin'Medallions,1966,4/4,0,2
ShakeYourGrooveThing,PeachesandHerb,1978,4/4,6,3
Maniac,MichaelSembello,1983,4/4,5,5
WalkRightIn,TheMoments,1963,4/4,7,0
Surrender,CheapTrick,1978,4/4,12,5
BabyI'mBurnin',DollyParton,1979,4/4,3,1
Cecilia,Simon&Garfunkel,1970,4/4,14,1
Boulevard,JacksonBrowne,1980,4/4,14,1
Judy,ElvisPresley,1967,4/4,4,3
TheLook,Roxette,1989,4/4,12,5
DanceAway,Roxy,1979,4/4,0,2
SixDaysOnTheRoad,DaveDudley,1963,4/4,1,4
QuarterToThree,GaryU.S.Bonds,1961,4/4,0,2
"TarzanBoy(From""TeenageMutantNinjaTurtlesIII"")",Baltimora,1986,4/4,0,2
"OhMe,OhMy(DreamsInMyArms)",AlGreen,1975,4/4,3,1
Let'sworkTogether,CannedHeat,1970,4/4,14,1
GivingYoutheBestThatIGot,AnitaBaker,1989,4/4,13,2
HeartFullofSoul,TheYardbirds,1965,4/4,14,1
IFoundALove,TheFalcons,1962,12/8,3,1
IDon'tBlameYouAtAll,TheMiracles,1971,4/4,14,1
Amor,BenE.King,1961,4/4,4,3
TooWeakToFight,ClarenceCarter,1968,4/4,14,1
UnchainedMelody,TheRighteousBrothers,1965,12/8,0,2
WeAreTheChampions,Queen,1978,4/4,9,2
SouthernCross,"Crosby,Stills&Nash",1982,4/4,10,1
Talktome,ChicoDeBarge,1987,4/4,6,5
TheLongRun,Eagles,1980,4/4,3,1
Allshewantsis,DuranDuran,1989,4/4,3,5
Situation,Yaz,1982,4/4,12,5
WishSomeoneWouldCare,IrmaThomas,1964,4/4,0,2
HeyStoopid,AliceCooper,1991,4/4,5,5
ICanHelp,BillySwan,1974,12/8,10,4
TheThrillIsGone,B.B.King,1970,4/4,1,4
ILove,TomDHall,1973,4/4,1,4
EverlastingLove,CarlCarlton,1974,4/4,6,0
HardenMyHeart,Quarterflash,1982,4/4,12,5
RocketRide,Kiss,1978,4/4,2,3
Iwanttotakeyouhigher,SlyAndTheFamilyStone,1969,4/4,4,4
HotChildintheCity,NickGilder,1978,4/4,11,4
Simon&Garfunkel,Mrs.Robinson,1968,4/4,0,2
HisLatestFlame,ElvisPresley,1961,4/4,0,2
EverybodyLovesSomebody,DeanMartin,1964,4/4,7,0
IfICouldBuildMyWholeWorldAroundYou,MarvinGaye&TammyTerrell,1967,4/4,3,1
TwistingtheNightAway,RodStewart,1987,4/4,0,2
GhostbustersTheme,RayParkerJr,1984,4/4,10,1
It'sOnlyMakeBelieve,GlenCampbell,1970,4/4,0,2
HigherGround,StevieWonder,1973,12/8,3,1
NickofTime,BonnieRaitt,1990,4/4,8,0
BeatIt,MichaelJackson,1983,4/4,12,5
IfYoureallyloveme,StevieWonder,1971,4/4,8,0
Maneater,DarylHall&JohnOates,1983,4/4,12,5
BrassMonkey,BeastieBoys,1987,4/4,3,5
LittleOldLadyFromPasadena,Jan&Dean,1964,4/4,1,4
HumanNature,MichaelJackson,1983,4/4,9,3
OutOfMyMind,JohnnyTillotson,1963,4/4,11,4
Think,JamesBrown,1973,4/4,1,4
ThePeopleInMe,TheMusicMachine,1967,4/4,11,2
(Sittin'On)TheDockOfTheBay,OtisRedding,1968,4/4,6,5
CaughtUpInTheRapture,AnitaBaker,1987,4/4,9,0
WhatHaveIDoneToDeserveThis?,PetShopBoys,1988,4/4,6,5
StonedLove,TheSupremes,1970,4/4,6,0
HelloDolly,LouisArmstrong,1964,4/4,7,0
It'sRainingMen,TheWeatherGirls,1983,4/4,11,2
TaintedLove,SoftCell,1982,4/4,3,1
Sunrise,EricCarmen,1976,4/4,7,0
YearsFromNow,Dr.Hook,1980,3/4,9,3
AskMe,ElvisPresley,1964,12/8,7,0
LookingForALove,TheJ.GeilsBand,1972,4/4,14,1
He'ssoshy,PointerSisters,1980,4/4,1,4
BigYellowTaxi,JoniMitchell,1975,4/4,3,1
SilentLucidity,Queensryche,1991,4/4,0,2
Heaven'sJustASinAway,TheKendalls,1977,4/4,1,3
BabyWorkout,JackieWilson,1963,4/4,14,1
SugarShack,TheFireballs,1963,4/4,3,1
WithALittleHelpFromMyFriends,JoeCocker,1968,4/4,10,3
Don'tKnockMyLove-Pt.1,WilsonPickett,1971,4/4,3,5
ChainedAndBound,OtisRedding,1964,4/4,1,4
WithOrWithoutYou,U2,1987,4/4,14,1
ThatGirl,StevieWonder,1982,4/4,1,3
NeedYouTonight,INXS,1988,4/4,1,4
OnTheRoadAgain,CannedHeat,1968,4/4,3,1
"TheAnaheim,Azusa&CucamongaSewingCircle,BookReviewAndTimingAssociation",Jan&Dean,1964,4/4,3,5
QueenOfHearts,JuiceNewton,1981,4/4,11,4
TellItLikeItIs,TheNevilleBrothers,1966,12/8,9,3
TooManyRivers,BrendaLee,1965,4/4,7,0
PeopleGetReady,JeffBeck,1985,4/4,7,3
Heartaches,Bachman-TurnerOverdrive,1979,4/4,10,1
DoesAnybodyReallyKnowWhatTimeItIs,Chicago,1970,4/4,1,5
WhiteWedding,BillyIdol,1983,4/4,10,1
BabyDon'tChangeYourMind,GladysKnight&ThePips,1977,4/4,14,1
LivingInThePast,JethroTull,1972,5/4,3,3
ThisShouldGoOnForever,RodBernard,1959,4/4,4,4
SaraSmile,DarylHall&JohnOates,1976,4/4,5,5
SomeDaysAreDiamonds(SomeDaysAreStone),JohnDenver,1981,4/4,7,0
Ko-KoJoe,JerryReed,1971,4/4,1,4
Lady(YouBringMeUp),Commodores,1981,4/4,12,5
RockyMountainHigh,JohnDenver,1972,4/4,11,2
WhereAreYou,DinahWashington,1962,4/4,8,0
MaybeTomorrow,Badfinger,1969,4/4,7,0
WouldItMakeAnyDifferenceToYou,EttaJames,1963,12/8,11,2
EightDaysAWeek,TheBeatles,1965,4/4,3,1
BreakingUpIsHardToDo,NeilSedaka,1976,4/4,7,0
PrettyInPink,PsychedelicFurs,1986,4/4,9,3
Lucille,KennyRogers,1977,3/4,9,3
IWill,DeanMartin,1965,4/4,4,4
Getaway,EarthWindandFire,1976,4/4,11,2
DoIDo,StevieWonder,1982,4/4,11,2
LivingDoll,CliffRichard,1959,4/4,2,3
LoveIsABattlefield,PatBenatar,1983,4/4,12,5
OneWayorAnother,Blondie,1979,4/4,13,2
ThatOldBlackMagic,LouisPrima&KeelySmith,1958,4/4,8,0
BabyCanIHoldYou,TracyChapman,1989,4/4,4,3
CryingTime,RayCharles,1965,4/4,9,3
DyerMaker,LedZepplin,1973,4/4,0,2
Levon,EltonJohn,1971,4/4,13,1
ComeMonday,JimmyBuffett,1974,4/4,13,2
WalkLikeAMan,GrandFunkRailroad,1973,4/4,10,1
TheNightChicagoDied,PaperLace,1974,4/4,2,3
Hair,TheCowsills,1969,4/4,5,5
Press,PaulMcCartney,1986,4/4,8,2
IWantToWalkYouHome,FatsDomino,1959,12/8,14,1
WalkingInMemphis,MarcCohn,1991,4/4,0,2
RescueMe,FontellaBass,1965,4/4,11,4
AVerySpecialLoveSong,CharlieRich,1974,4/4,6,0
SoulAndInspiration,TheRighteousBrothers,1966,4/4,13,2
TheWaysOfAWomanInLove,JohnnyCash,1958,4/4,1,4
LastDate,FloydCramer,1960,4/4,1,4
HeyBaby,BruceChannel,1962,4/4,7,0
EverybodyLovesMebutYou,BrendaLee,1962,12/8,12,5
HungryEyes,EricCarmen,1988,4/4,9,0
AlmostGrown,ChuckBerry,1959,4/4,14,1
MyWay,ElvisPresley,1978,4/4,3,0
CatchMyFall,BillyIdol,1985,4/4,4,0
"You'reTheFirst,TheLast,MyEverything",BarryWhite,1974,4/4,8,0
IDon'tLoveYouAnymore,TeddyPendergrass,1977,4/4,6,5
StraightFromTheHeart,TheAllmanBrothers,1981,4/4,1,3
ThemeFromTheDukesOfHazzard,WaylonJennings,1980,4/4,1,4
TrueColors,CyndiLauper,1986,4/4,6,4
September,"Earth,Wind&Fire",1979,4/4,1,4
We'reAllAlone,RitaCoolidge,1977,4/4,8,0
YouTookTheWordsRightOutOfMyMouth,MeatLoaf,1978,4/4,13,4
OnTheWingsOfANightingale,TheEverlyBrothers,1984,4/4,1,4
UnskinnyBop,Poison,1990,4/4,10,1
Let'sGetSerious,JermaineJackson,1980,4/4,1,4
SuperFreakPartOne,RickJames,1981,4/4,12,5
CaliforniaNights,LeslieGore,1967,4/4,8,0
BigIron,MartyRobbins,1960,4/4,8,1
BlueJean,DavidBowie,1984,4/4,10,1
MercyMercyMe(TheEcology),MarvinGaye,1971,4/4,7,0
JustLikeJesseJames,Cher,1989,4/4,14,2
ICriedATear,LaVernBaker,1959,12/8,1,4
LovelyDay,BillWithers,1978,4/4,0,2
