song,artist,year
PromisesInTheDark,PatBenatar,1981
StillCruisin,TheBeachBoys,1989
HonkyTonkWomen,TheRollingStones,1969
"KnowingMe,KnowingYou",ABBA,1977
LifeIsACarnival,TheBand,1971
BackHomeAgain,JohnDenver,1974
"Tonight,Tonight,Tonight",Genesis,1987
YouDecoratedMyLife,KennyRogers,1980
SailOnSailor,TheBeachBoys,1975
JustTheWayYouAre,BillyJoel,1978
WhiteChristmas,BingCrosby,1962
BecauseILoveYou,StevieB,1991
"HaveYouSeenYourMother,Baby,StandingInTheShadow?",TheRollingStones,1966
ItAmazesMe,JohnDenver,1978
RhinestoneCowboy,GlenCampbell,1975
I'dLoveToChangeTheWorld,TenYearsAfter,1971
OldTimeRock&Roll,BobSeger,1979
HandyMan,JimmyJones,1960
ThemeFromElectricSurfboard,BrotherJackMcDuff,1969
LoveCameToMe,Dion,1962
SanctifyYourself,SimpleMinds,1986
Smokin'InTheBoysRoom,Brownsvillestation,1973
ShapeOfThingsToCome,MaxFrost&TheTroopers,1968
DontTreatMeBad,Firehouse,1991
BornToBeAlive,PatrickHernandez,1979
In-A-Gadda-Da-Vida,IronButterfly,1968
Dandelion,RollingStones,1967
(LastNight)IDidn'tGetToSleepAtAll,The5thDimension,1972
WorriedGuy,JohnnyTillotson,1964
TimeForMeToFly,REOSpeedwagon,1980
Money,PinkFloyd,1973
InMyRoom,TheBeachBoys,1963
AddictedtoLove,RobertPalmer,1986
Patches,ClarenceCarter,1970
WaitingOnAFriend,RollingStones,1982
ItTakesTwo,MarvinGaye&KimWeston,1967
There'stheGirl,Heart,1988
GottaServeSomebody,BobDylan,1979
TheseBootsAreMadeForWalkin',NancySinatra,1966
AsUsual,BrendaLee,1964
GuitarMan,ElvisPresley,1968
LongDarkRoad,TheHollies,1972
EveryLittleThingSheDoesIsMagic,ThePolice,1981
Mr.Bojangles,JerryJeffWalker,1968
Lyin'Eyes,Eagles,1975
That'stheWayIFeelAboutCha,BobbyWomack,1971
HereIGoAgain,Whitesnake,1987
DoYouWantToKnowASecret,TheBeatles,1964
BreakItToMeGently,JuiceNewton,1982
TheHumptyDance,DigitalUnderground,1990
InTheNavy,VillagePeople,1979
Cruisin',SmokeyRobinson,1980
YouCan'tRollerSkateInABuffaloHerd,RogerMiller,1966
AllThroughTheNight,CyndiLauper,1984
TheOtherGuy,LittleRiverBand,1983
DaydreamBeliever,AnneMurray,1980
IGotYou(IFeelGood),JamesBrown,1965
ComeAndGetYourLove,Redbone,1974
DreamPolice,CheapTrick,1979
IWantYou,MarvinGaye,1976
FloyJoy,TheSupremes,1972
BirdDog,TheEverlyBrothers,1958
WhenWillIBeLoved,LindaRonstadt,1975
LetMeGetToKnowYou,PaulAnka,1974
MyBoy,ElvisPresley,1975
WhereDoYouWannaGo,TheFifthDimension,1967
JungleBoogie,KoolandtheGang,1974
SomebodysWatchingMe,Rockwell,1984
YourLoveHasLiftedMeHigher,RitaCoolidge,1977
ThroughTheYears,KennyRogers,1981
DeeperShadeOfSoul,UrbanDanceSquad,1991
Easy,TheCommodores,1977
IfIWereYourWoman,GladysNight&ThePips,1971
DooDooDooDooDoo,TheRollingStones,1974
LivingItDown,FreddyFender,1976
Sunflower,GlenCampbell,1977
TheBest,TinaTurner,1989
RollOnDownTheHighway,Bachman-TurnerOverdrive,1975
GoodVibrations,MarkyMark&TheFunkyBunch,1991
ICan'tDrive55,SammyHagar,1984
PhiladelphiaFreedom,EltonJohn,1975
"IRise,IFall",JohnnyTillotson,1964
DumDum,BrendaLee,1961
Superman,DonnaFargo,1973
JustLikeHeaven,TheCure,1988
ThisSong,GeorgeHarrison,1977
EvilWays,Santana,1970
Feelin'StrongerEveryDay,Chicago,1973
UndercoverAngel,AlanO'Day,1977
KindOfADrag,TheBuckinghams,1967
KissesOnTheWind,NenehCherry,1989
LosingYou,BrendaLee,1963
ScarletFever,KennyRogers,1983
ICan'tStandTheRain,AnnPeebles,1973
BestThingThatEverHappenedToMe,GladysKnight&ThePips,1974
HocusPocus,Focus,1973
WhereTheStreetsHaveNoNames,PetShopBoys,1991
SunshineSuperman,Donovan,1966
Ifyoulovesomebodysetthemfree,Sting,1985
HoldOn,WilsonPhillips,1990
IReallyDon'tWantToKnow,ElvisPresley,1970
TimeIsOnMySide,RollingStones,1964
Tenderness,GeneralPublic,1984
YoungHeartsRunFree,CandiStaton,1976
It'sYourThing,TheIsleyBrothers,1969
Misunderstanding,Genesis,1980
HereComeThoseTearsAgain,JacksonBrowne,1977
Fever,PeggyLee,1958
KozmicBlues,JanisJoplin,1969
OneNight,ElvisPresley,1959
WomanToWoman,ShirleyBrown,1975
TheGoonies`RGoodEnough,CyndiLauper,1985
INeverLovedAMan,ArethaFranklin,1967
He'sARebel,TheCrystals,1962
Amie,PurePrairieLeague,1975
Jimmy'sGirl,JohnnyTillotson,1961
SundayMorningSunshine,HarryChapin,1972
Someone,TheRembrandts,1991
GoldenYears,DavidBowie,1976
"(You'reSoSquare)Baby,IDon'tCare",JoniMitchell,1982
ChainOfFools,ArethaFranklin,1967
BlowAway,GeorgeHarrison,1979
PinballWizard,TheWho,1969
SeeSeeRider,LaVernBaker,1963
ImGoinDown,BruceSpringsteen,1985
BluebirdsOverTheMountain,TheBeachBoys,1969
PutYourHandInTheHand,Ocean,1971
IWantaNewDrug,HueyLewis&TheNews,1984
OneBadApple,TheOsmonds,1971
IfICouldReachYou,The5thDimension,1972
WhereOrWhen,Dion,1960
RubyBaby,Dion,1963
WorldInMyEyes,DepecheMode,1990
BetterThings,TheKinks,1981
OldDays,Chicago,1975
Jump(forMyLove),ThePointerSisters,1984
GotItMade,CrosbyStillsandNash,1989
Don'tSayYouLoveMe,BillySquier,1989
WalkOnTheWildSide(Part1),JimmySmith,1962
WithaLittleLuck,PaulMcCartney,1978
NotFadeAway,RollingStones,1964
OnBroadway,TheDrifters,1963
SeasonsOfTheHeart,JohnDenver,1982
FleshForFantasy,BillyIdol,1984
GiveToLive,SammyHagar,1987
LittleBitO'Soul,TheMusicExplosion,1967
Ain'tTooProudToBeg,TheTemptations,1966
InYourSoul,CoreyHart,1988
SweetMusicMan,KennyRogers,1978
ComeTogether,TheBeatles,1969
SilverThreadsAndGoldenNeedles,TheCowsills,1969
IAdoreMiAmor,ColorMeBadd,1991
Carrie-Anne,TheHollies,1967
OneLastKiss,J.GeilsBand,1978
Wendy,TheBeachBoys,1964
GiveItToMeBaby,RickJames,1981
"Baby,BabyDon'tCry",TheMiracles,1969
I'mInLove,"Evelyn""Champagne""King",1981
RightPlaceWrongTime,Dr.John,1973
HeartinHand,BrendaLee,1962
RichGirl,HallandOates,1977
MyThang,JamesBrown,1974
Don'tstandsoclosetome,Police,1981
IDon'tNeedYou,KennyRogers,1981
CityInTheSky,TheStapleSingers,1974
TheBattleOfNewOrleans,JohnnyHorton,1959
LastDance,DonnaSummer,1978
I'veBeenLovingYouTooLong(ToStopNow),OtisRedding,1965
AftertheLovin',EngelbertHumperdinck,1977
Still,Commodores,1980
HowBlueCanYouGet,B.B.King,1964
OhMyAngel,BerthaTillman,1962
GoingToAGo-Go,TheRollingStones,1982
FoolThatIAm,EttaJames,1961
ThoseLazy-Hazy-CrazyDaysOfSummer,NatKingCole,1963
YearsAgo,GeorgeHarrison,1981
Suite:JudyBlueEyes,"Crosby,Stills&Nash",1969
PrivateDancer,TinaTurner,1985
TrampledUnderFoot,LedZeppelin,1975
LoveComesQuickly,PetShopBoys,1986
CrystalBluePersuasion,TommyJames,1969
ThisHouse,TracieSpencer,1990
RunningUpThatHill,KateBush,1985
BabyYou'reRight,JamesBrown,1961
StopThisGame,CheapTrick,1980
WithYouI'mBornAgain,BillyPreston,1979
WakeMeUpBeforeYouGo-Go,Wham!,1984
IfICanDream,ElvisPresley,1968
RedneckFriend,JacksonBrowne,1973
DiscoInferno,TheTrammps,1977
AlmostbyBeingInLove,MichaelJohnson,1978
DoubleShot(OfMyBaby'sLove),Swingin'Medallions,1966
ShakeYourGrooveThing,PeachesandHerb,1978
Maniac,MichaelSembello,1983
WalkRightIn,TheMoments,1963
Surrender,CheapTrick,1978
BabyI'mBurnin',DollyParton,1979
Cecilia,Simon&Garfunkel,1970
Boulevard,JacksonBrowne,1980
Judy,ElvisPresley,1967
TheLook,Roxette,1989
DanceAway,Roxy,1979
SixDaysOnTheRoad,DaveDudley,1963
QuarterToThree,GaryU.S.Bonds,1961
"TarzanBoy(From""TeenageMutantNinjaTurtlesIII"")",Baltimora,1986
"OhMe,OhMy(DreamsInMyArms)",AlGreen,1975
Let'sworkTogether,CannedHeat,1970
GivingYoutheBestThatIGot,AnitaBaker,1989
HeartFullofSoul,TheYardbirds,1965
IFoundALove,TheFalcons,1962
IDon'tBlameYouAtAll,TheMiracles,1971
Amor,BenE.King,1961
TooWeakToFight,ClarenceCarter,1968
UnchainedMelody,TheRighteousBrothers,1965
WeAreTheChampions,Queen,1978
SouthernCross,"Crosby,Stills&Nash",1982
Talktome,ChicoDeBarge,1987
TheLongRun,Eagles,1980
Allshewantsis,DuranDuran,1989
Situation,Yaz,1982
WishSomeoneWouldCare,IrmaThomas,1964
HeyStoopid,AliceCooper,1991
ICanHelp,BillySwan,1974
TheThrillIsGone,B.B.King,1970
ILove,TomDHall,1973
EverlastingLove,CarlCarlton,1974
HardenMyHeart,Quarterflash,1982
RocketRide,Kiss,1978
Iwanttotakeyouhigher,SlyAndTheFamilyStone,1969
HotChildintheCity,NickGilder,1978
Simon&Garfunkel,Mrs.Robinson,1968
HisLatestFlame,ElvisPresley,1961
EverybodyLovesSomebody,DeanMartin,1964
IfICouldBuildMyWholeWorldAroundYou,MarvinGaye&TammyTerrell,1967
TwistingtheNightAway,RodStewart,1987
GhostbustersTheme,RayParkerJr,1984
It'sOnlyMakeBelieve,GlenCampbell,1970
HigherGround,StevieWonder,1973
NickofTime,BonnieRaitt,1990
BeatIt,MichaelJackson,1983
IfYoureallyloveme,StevieWonder,1971
Maneater,DarylHall&JohnOates,1983
BrassMonkey,BeastieBoys,1987
LittleOldLadyFromPasadena,Jan&Dean,1964
HumanNature,MichaelJackson,1983
OutOfMyMind,JohnnyTillotson,1963
Think,JamesBrown,1973
ThePeopleInMe,TheMusicMachine,1967
(Sittin'On)TheDockOfTheBay,OtisRedding,1968
CaughtUpInTheRapture,AnitaBaker,1987
WhatHaveIDoneToDeserveThis?,PetShopBoys,1988
StonedLove,TheSupremes,1970
HelloDolly,LouisArmstrong,1964
It'sRainingMen,TheWeatherGirls,1983
TaintedLove,SoftCell,1982
Sunrise,EricCarmen,1976
YearsFromNow,Dr.Hook,1980
AskMe,ElvisPresley,1964
LookingForALove,TheJ.GeilsBand,1972
He'ssoshy,PointerSisters,1980
BigYellowTaxi,JoniMitchell,1975
SilentLucidity,Queensryche,1991
Heaven'sJustASinAway,TheKendalls,1977
BabyWorkout,JackieWilson,1963
SugarShack,TheFireballs,1963
WithALittleHelpFromMyFriends,JoeCocker,1968
Don'tKnockMyLove-Pt.1,WilsonPickett,1971
ChainedAndBound,OtisRedding,1964
WithOrWithoutYou,U2,1987
ThatGirl,StevieWonder,1982
NeedYouTonight,INXS,1988
OnTheRoadAgain,CannedHeat,1968
"TheAnaheim,Azusa&CucamongaSewingCircle,BookReviewAndTimingAssociation",Jan&Dean,1964
QueenOfHearts,JuiceNewton,1981
TellItLikeItIs,TheNevilleBrothers,1966
TooManyRivers,BrendaLee,1965
PeopleGetReady,JeffBeck,1985
Heartaches,Bachman-TurnerOverdrive,1979
DoesAnybodyReallyKnowWhatTimeItIs,Chicago,1970
WhiteWedding,BillyIdol,1983
BabyDon'tChangeYourMind,GladysKnight&ThePips,1977
LivingInThePast,JethroTull,1972
ThisShouldGoOnForever,RodBernard,1959
SaraSmile,DarylHall&JohnOates,1976
SomeDaysAreDiamonds(SomeDaysAreStone),JohnDenver,1981
Ko-KoJoe,JerryReed,1971
Lady(YouBringMeUp),Commodores,1981
RockyMountainHigh,JohnDenver,1972
WhereAreYou,DinahWashington,1962
MaybeTomorrow,Badfinger,1969
WouldItMakeAnyDifferenceToYou,EttaJames,1963
EightDaysAWeek,TheBeatles,1965
BreakingUpIsHardToDo,NeilSedaka,1976
PrettyInPink,PsychedelicFurs,1986
Lucille,KennyRogers,1977
IWill,DeanMartin,1965
Getaway,EarthWindandFire,1976
DoIDo,StevieWonder,1982
LivingDoll,CliffRichard,1959
LoveIsABattlefield,PatBenatar,1983
OneWayorAnother,Blondie,1979
ThatOldBlackMagic,LouisPrima&KeelySmith,1958
BabyCanIHoldYou,TracyChapman,1989
CryingTime,RayCharles,1965
DyerMaker,LedZepplin,1973
Levon,EltonJohn,1971
ComeMonday,JimmyBuffett,1974
WalkLikeAMan,GrandFunkRailroad,1973
TheNightChicagoDied,PaperLace,1974
Hair,TheCowsills,1969
Press,PaulMcCartney,1986
IWantToWalkYouHome,FatsDomino,1959
WalkingInMemphis,MarcCohn,1991
RescueMe,FontellaBass,1965
AVerySpecialLoveSong,CharlieRich,1974
SoulAndInspiration,TheRighteousBrothers,1966
TheWaysOfAWomanInLove,JohnnyCash,1958
LastDate,FloydCramer,1960
HeyBaby,BruceChannel,1962
EverybodyLovesMebutYou,BrendaLee,1962
HungryEyes,EricCarmen,1988
AlmostGrown,ChuckBerry,1959
MyWay,ElvisPresley,1978
CatchMyFall,BillyIdol,1985
"You'reTheFirst,TheLast,MyEverything",BarryWhite,1974
IDon'tLoveYouAnymore,TeddyPendergrass,1977
StraightFromTheHeart,TheAllmanBrothers,1981
ThemeFromTheDukesOfHazzard,WaylonJennings,1980
TrueColors,CyndiLauper,1986
September,"Earth,Wind&Fire",1979
We'reAllAlone,RitaCoolidge,1977
YouTookTheWordsRightOutOfMyMouth,MeatLoaf,1978
OnTheWingsOfANightingale,TheEverlyBrothers,1984
UnskinnyBop,Poison,1990
Let'sGetSerious,JermaineJackson,1980
SuperFreakPartOne,RickJames,1981
CaliforniaNights,LeslieGore,1967
BigIron,MartyRobbins,1960
BlueJean,DavidBowie,1984
MercyMercyMe(TheEcology),MarvinGaye,1971
JustLikeJesseJames,Cher,1989
ICriedATear,LaVernBaker,1959
LovelyDay,BillWithers,1978
50WaysToLeaveYourLover,PaulSimon,1976
JustAFriend,BizMarkie,1990
JourneyToTheCenterOfTheMind,TheAmboyDukes,1968
TryingToLiveMyLifeWithoutYou,BobSeger&TheSilverBulletBand,1981
SexyEyes,Dr.Hook,1980
GoodMorningStarshine,Oliver,1969
SweetLove,AnitaBaker,1986
Surfin'Safari,TheBeachBoys,1962
BornToBeWild,Steppenwolf,1968
GoodbyeYellowBrickRoad,EltonJohn,1973
IfICouldTurnBackTime,Cher,1989
BurningDownTheHouse,TalkingHeads,1983
IGotMyMindSetOnYou,GeorgeHarrison,1988
SweetSurrender,Bread,1972
"Liar,Liar",TheCastaways,1965
BadMoonRising,CreedenceClearwaterRevival,1969
ISawHerStandingThere,TheBeatles,1964
ILikeTheWay(TheKissingGame),Hi-Five,1991
GetUp(IFeelLikeBeingLikeA)SexMachine(Part1),JamesBrown,1970
MakeALittleMagic,NittyGrittyDirtBand,1980
You'veGotAnotherThingComin',JudasPriest,1982
Elvira,OakRidgeBoys,1981
Don'tTalkToStrangers,RickSpringfield,1982
SecretLove,FreddyFender,1975
SheThinksIStillCare,ElvisPresley,1977
WalkThisWay,Run-D.M.C.,1986
One,Metallica,1989
DanceHallDays,WangChung,1984
MeMyselfAndI,DeLaSoul,1989
DontYouKnowWhatTheNightCanDo,SteveWinwood,1988
Let'sGoGetStoned,RayCharles,1966
HappyJack,TheWho,1967
War,EdwinStarr,1970
OnAndOnAndOn,Abba,1981
ADreamGoesOnForever,ToddRundgren,1974
ICan'tStandIt,EricClapton,1981
IWishItWouldRain,TheTemptations,1968
CountryRoad,JamesTaylor,1971
HoneyHoney,ABBA,1974
TillTheEndOfTheDay,TheKinks,1966
TeachYourChildren,"Crosby,Stills&Nash",1970
GirlYouKnowItsTrue,MilliVanilli,1989
IfNotYou,Dr.Hook,1977
SweetCaroline(GoodTimesNeverSeemedSoGood),BobbyWomack,1972
ALoveSong,AnneMurray,1974
HotInTheCity,BillyIdol,1982
TheBestDiscoInTown,TheRitchieFamily,1976
Perfidia,TheVentures,1960
"OutOfSight,OutOfMind",LittleAnthony&TheImperials,1969
MonyMony,TommyJames,1968
DirtyWater,RockAndHyde,1987
TreatHerLikeALady,CorneliusBrothers&SisterRose,1971
EleanorRigby,RayCharles,1968
CryLikeABaby,TheBoxTops,1968
LikeARock,BobSeger,1986
IFoundATrueLove,WilsonPickett,1968
StartingOverAgain,DollyParton,1980
RidersOnTheStorm,TheDoors,1971
ISecondThatEmotion,TheMiracles,1968
Fakinit,Simon&Garfunkel,1967
TheTwist,ChubbyChecker,1962
AllIEverNeedIsYou,Sonny&Cher,1971
Feelin'Satisfied,Boston,1979
EyeInTheSky,TheAllanParsonsProject,1982
MissYou,TheRollingStones,1978
TakeAChanceOnMe,Abba,1978
TheStroke,BillySquier,1981
HelloHello,TheSopwithCamel,1967
SweetSoulMusic,ArthurConley,1967
Breezin',GeorgeBenson,1976
ComingOnStrong,BrendaLee,1966
Don'tAskMeWhy,BillyJoel,1980
ModernLove,DavidBowie,1983
LittleTooLate,PatBenatar,1983
Kokomo(FromTheCocktailSoundtrack),TheBeachBoys,1988
TheLookOfLove,IsaacHayes,1971
KarmaChameleon,CultureClub,1984
Venus,Bananarama,1986
HelloStranger,BarbaraLewis,1963
DancingMachine,TheJacksons,1974
YouMakeMeFeelLikeDancing,LeoSayer,1977
ShapesOfThings,TheYardbirds,1966
TheBitchIsBack,EltonJohn,1974
Nightshift,TheCommodores,1985
ThereGoesMyEverything,ElvisPresley,1971
Gloria,LauraBranigan,1982
Freeze-Frame,J.GeilsBand,1982
BabyComeBack,Player,1978
ThreeHeartsInATangle,RoyDrusky,1961
TheMillionaire,Dr.Hook,1975
IDroveAllNight,CyndiLauper,1989
AllThisTime,Sting,1991
TimeWillReveal,Debarge,1984
PlayThatFunkyMusic,WildCherry,1976
InTheMidnightHour,WilsonPickett,1965
TheArmsOfOrion,Prince&SheenaEaston,1989
HeyYou!GetOffMyMountain,TheDramatics,1973
SoulDanceNumber3,WilsonPickett,1967
BabyWhatYouWantMeToDo,JimmyReed,1960
Lucky,GregKihn,1985
WeDontNeedAnotherHero(Thunderdome),TinaTurner,1985
DownAndOutInNewYorkCity,JamesBrown,1973
Goin'Back,TheByrds,1967
SugarMagnolia,TheGreatfulDead,1973
TownWithout,GenePitney,1961
GirlImGonnaMissYou,MilliVanilli,1989
LayDownSally,EricClapton,1978
ItKeepsRightOnA-Hurtin',JohnnyTillotson,1962
OhMeOhMy(I'mAFoolForYouBaby),ArethaFranklin,1972
IsThereSomethingIShouldKnow,DuranDuran,1983
I'vePassedThisWayBefore,JimmyRuffin,1967
CountOnMe,JeffersonStarship,1978
Jamie,EddieHolland,1962
HookedOnAFeeling,B.J.Thomas,1968
MyKindaLover,BillySquier,1982
AnotherBrickInTheWall(PartII),PinkFloyd,1980
Heartbreaker,PatBenatar,1980
IWalkAlone,MartyRobbins,1968
MyWishCameTrue,ElvisPresley,1959
AfterTheLoveHasGone,"Earth,Wind&Fire",1979
Ain'tNoSunshine,BillWithers,1971
I'veBeenEverywhere,HankSnow,1962
BestOfMyLove,Eagles,1975
TuffEnuff,TheFabulousThunderbirds,1986
ThisLittleGirl,Dion,1963
SadEyes,RobertJohn,1979
MyHometown,BruceSpringsteen,1985
MustOfGotLost,TheJ.GeilsBand,1974
EveryTimeIThinkOfYou,TheBabys,1979
RockAndRollNeverForgets,BobSeger,1977
BeMyGuest,FatsDomino,1959
DevilWoman,CliffRichard,1976
CanWeStillBeFriends,ToddRundgren,1978
There'llNeverBe,Switch,1978
TakeMeDown,Alabama,1982
MakeMeSmile,Chicago,1970
Don'tLeaveMeThisWay,ThelmaHouston,1977
ThereButForFortune,JoanBaez,1965
WhoWillYouRunTo,Heart,1987
There'sNoOther(LikeMyBaby),TheCrystals,1961
Look-KaPyPy,TheMeters,1970
(Iwas)BornToCry,Dion,1962
RockThisTown,StrayCats,1982
WhatYouSeeIsWhatYouGet,TinaTurner,1987
BustAMove,YoungMC,1990
"Ob-La-Di,Ob-La-Da",TheBeatles',1976
Reelin'&Rockin',ChuckBerry,1972
LandOf1000Dances,ChrisKenner,1963
NeverKnewLoveLikeThisBefore,StephanieMills,1980
LonelyWeekends,CharlieRich,1960
WichitaLineman,GlenCampbell,1969
EbonyEyes,TheEverlyBrothers,1961
FunnyGirl,BarbraStreisand,1964
WillTheWolfSurvive,LosLobos,1985
AHazyShadeOfWinter,SimonAndGarfunel,1966
CarryMe,"DavidCrosby,GrahamNash",1975
TreatHerRight,RoyHead,1965
InvisibleTouch,Genesis,1986
OneLessBellToAnswer,The5thDimension,1971
MightyGoodLovin',TheMiracles,1961
LovingHerWasEasier,KrisKristofferson,1971
TornBetweenTwoLovers,MaryMacGregor,1976
AreYouSureHankDoneItThisWay,WaylonJennings,1975
OhFather,Madonna,1990
TalkBackTremblingLips,JohnnyTillotson,1963
HardDaysNight,TheBeatles,1964
ILoveARainyNight,EddieRabbitt,1981
TellMeWhatYouWantMeToDo,TevinCampbell,1991
"Abraham,MartinAndJohn",Dion,1968
ACowboy'sWorkIsNeverDone,Sonny&Cher,1972
IDontWantYourLove,DuranDuran,1989
GoingToChicagoBlues,CountBasie,1958
TheSoundsOfSilence,Simon&Garfunkel,1965
ThinkOfMe,BuckOwens,1966
RunningOnEmpty,JacksonBrowne,1978
IGotStripes,JohnnyCash,1959
Daddy'sHome,CliffRichard,1982
MyLove,PaulMcCartney&Wings,1973
TenPercent,DoubleExposure,1976
RebelYell,BillyIdol,1984
OdeToBillieJoe,BobbieGentry,1976
"RightHere,RightNow",JesusJones,1991
SummertimeBlues,BlueCheer,1968
NightMoves,BobSeger,1977
LiveToTell,Madonna,1986
HappyAnniversary,LittleRiverBand,1978
AgainstTheWind,BobSeger,1980
